ID,AGE,GENDER,RACE,DRIVING_EXPERIENCE,EDUCATION,INCOME,CREDIT_SCORE,VEHICLE_OWNERSHIP,VEHICLE_YEAR,MARRIED,CHILDREN,POSTAL_CODE,ANNUAL_MILEAGE,VEHICLE_TYPE,SPEEDING_VIOLATIONS,DUIS,PAST_ACCIDENTS,OUTCOME
299429,26-39,female,majority,0-9y,university,upper class,,1.0,after 2015,0.0,1.0,10238,,sedan,0,0,0,0.0
949426,26-39,male,majority,10-19y,high school,middle class,0.5221769112250697,1.0,after 2015,1.0,1.0,10238,12000.0,sedan,0,0,0,0.0
455304,40-64,male,majority,10-19y,high school,middle class,0.5062116529171277,0.0,before 2015,1.0,0.0,10238,11000.0,sedan,3,0,1,0.0
513675,65+,male,majority,30y+,high school,upper class,0.6487467867282103,1.0,before 2015,1.0,1.0,32765,6000.0,sedan,13,6,3,0.0
617387,26-39,male,majority,10-19y,high school,middle class,0.4069958243881594,1.0,before 2015,0.0,0.0,10238,16000.0,sedan,0,0,1,0.0
436863,16-25,male,majority,0-9y,high school,working class,0.5022869533930133,0.0,before 2015,1.0,0.0,10238,12000.0,sedan,0,0,0,1.0
227991,26-39,male,majority,0-9y,university,middle class,,0.0,before 2015,0.0,1.0,21217,,sedan,0,0,0,1.0
677307,26-39,female,majority,0-9y,high school,middle class,0.5532659078456234,0.0,before 2015,0.0,1.0,10238,11000.0,sedan,0,0,0,1.0
5656,40-64,male,majority,20-29y,university,upper class,0.6521572894862243,1.0,after 2015,1.0,1.0,10238,,sedan,6,0,2,0.0
818173,40-64,male,majority,20-29y,university,upper class,0.7557590484416451,1.0,after 2015,1.0,1.0,10238,12000.0,sedan,2,0,2,0.0
62863,65+,male,majority,20-29y,university,upper class,0.5000459869796376,1.0,before 2015,1.0,1.0,10238,12000.0,sedan,2,0,6,0.0
143410,40-64,female,majority,20-29y,university,middle class,0.5993749214349967,0.0,before 2015,0.0,0.0,10238,18000.0,sedan,0,0,2,0.0
795527,26-39,female,majority,10-19y,high school,working class,0.3646300364441638,0.0,before 2015,1.0,1.0,32765,7000.0,sports car,1,0,0,1.0
513598,40-64,male,majority,20-29y,university,upper class,0.6051303442238017,1.0,before 2015,1.0,1.0,10238,12000.0,sedan,3,0,2,0.0
373533,65+,female,majority,20-29y,high school,upper class,,1.0,before 2015,1.0,1.0,10238,12000.0,sedan,2,0,2,0.0
121496,40-64,male,majority,0-9y,none,middle class,0.5491989032257741,1.0,after 2015,1.0,1.0,10238,7000.0,sedan,0,0,0,0.0
368915,16-25,male,majority,0-9y,high school,working class,0.4005849078660153,1.0,before 2015,0.0,0.0,10238,15000.0,sedan,0,0,0,1.0
309619,40-64,male,majority,10-19y,university,middle class,,0.0,after 2015,1.0,0.0,10238,16000.0,sedan,1,2,0,1.0
348146,26-39,female,majority,10-19y,none,poverty,0.2565912745042664,0.0,before 2015,0.0,0.0,10238,12000.0,sedan,0,0,2,1.0
847312,26-39,male,majority,10-19y,university,upper class,0.680928917443575,1.0,before 2015,1.0,0.0,10238,12000.0,sedan,1,2,1,0.0
268799,26-39,male,majority,10-19y,high school,middle class,0.4741973179165643,1.0,before 2015,0.0,1.0,32765,9000.0,sedan,2,1,0,1.0
440272,40-64,male,majority,20-29y,university,upper class,0.6027630963241031,1.0,before 2015,0.0,1.0,32765,10000.0,sedan,8,0,3,0.0
196570,40-64,female,majority,10-19y,university,upper class,0.7819530183027448,1.0,after 2015,1.0,1.0,10238,16000.0,sedan,3,1,0,0.0
402571,26-39,female,majority,10-19y,university,working class,,0.0,before 2015,0.0,1.0,10238,13000.0,sedan,1,0,4,0.0
463229,26-39,female,majority,10-19y,high school,poverty,0.4272678792680286,0.0,before 2015,1.0,0.0,92101,9000.0,sedan,1,0,0,1.0
297854,40-64,male,majority,20-29y,high school,upper class,0.6867141058386899,1.0,before 2015,1.0,1.0,10238,10000.0,sedan,9,0,2,0.0
975718,40-64,female,majority,0-9y,university,upper class,0.4840149273174377,1.0,after 2015,1.0,1.0,10238,10000.0,sedan,0,0,0,0.0
488658,40-64,female,majority,20-29y,university,upper class,0.6257870416277221,1.0,before 2015,0.0,1.0,10238,13000.0,sedan,0,0,2,0.0
320313,26-39,female,majority,10-19y,high school,upper class,0.5957149581490123,1.0,before 2015,1.0,1.0,10238,7000.0,sedan,2,0,2,0.0
323129,40-64,male,majority,0-9y,high school,upper class,0.6809131865092295,1.0,after 2015,0.0,1.0,10238,11000.0,sedan,0,0,0,0.0
642860,26-39,male,majority,10-19y,high school,working class,0.3065518093256519,0.0,before 2015,0.0,0.0,10238,18000.0,sedan,0,0,0,0.0
445056,26-39,male,majority,10-19y,university,upper class,0.5893790042775761,1.0,before 2015,1.0,1.0,10238,9000.0,sedan,2,1,1,0.0
531284,40-64,male,majority,20-29y,university,upper class,0.6016258241392335,1.0,before 2015,0.0,1.0,10238,,sedan,2,2,1,0.0
662855,65+,female,majority,0-9y,university,upper class,0.6563498838978089,1.0,after 2015,1.0,1.0,10238,7000.0,sedan,0,0,0,0.0
881496,26-39,female,majority,10-19y,none,middle class,0.61535406879528,1.0,before 2015,1.0,1.0,10238,15000.0,sedan,0,0,1,0.0
845655,65+,male,majority,30y+,university,upper class,0.6519123625904758,1.0,after 2015,1.0,1.0,10238,13000.0,sedan,5,1,6,0.0
519751,16-25,male,minority,0-9y,none,poverty,0.2950906798001347,0.0,before 2015,0.0,0.0,92101,14000.0,sedan,0,0,0,1.0
745325,65+,female,majority,0-9y,high school,upper class,0.6112652567938774,1.0,after 2015,1.0,1.0,10238,,sedan,0,0,0,0.0
518073,40-64,male,majority,20-29y,university,upper class,0.4746294315462082,0.0,after 2015,1.0,1.0,10238,7000.0,sedan,8,0,7,0.0
214281,26-39,male,majority,10-19y,none,poverty,0.0953870936940878,1.0,before 2015,0.0,0.0,10238,15000.0,sedan,2,1,2,1.0
828111,16-25,male,majority,0-9y,none,poverty,0.4138170668973727,1.0,before 2015,0.0,1.0,10238,10000.0,sedan,0,0,0,1.0
466025,65+,female,majority,30y+,high school,upper class,0.6809852539465225,1.0,after 2015,1.0,1.0,10238,12000.0,sedan,3,1,6,0.0
639084,26-39,male,majority,0-9y,university,upper class,0.6764783850579369,1.0,before 2015,0.0,1.0,32765,13000.0,sedan,0,0,0,0.0
461923,26-39,male,majority,10-19y,university,working class,,0.0,before 2015,1.0,0.0,10238,15000.0,sedan,1,0,1,0.0
897135,26-39,male,majority,0-9y,high school,middle class,0.4033846274374489,0.0,before 2015,1.0,1.0,10238,9000.0,sedan,0,0,0,1.0
235726,26-39,female,majority,0-9y,university,upper class,0.7040031235458382,1.0,after 2015,1.0,1.0,32765,10000.0,sedan,0,0,0,0.0
682225,26-39,male,majority,0-9y,university,upper class,0.5735410704695847,1.0,before 2015,1.0,1.0,32765,9000.0,sedan,0,0,0,0.0
396326,40-64,male,majority,20-29y,none,middle class,0.4879440211154682,1.0,before 2015,0.0,1.0,10238,11000.0,sedan,5,0,4,0.0
866306,16-25,female,majority,0-9y,none,poverty,,1.0,before 2015,1.0,1.0,32765,8000.0,sedan,0,0,0,0.0
155779,40-64,female,majority,20-29y,none,working class,,1.0,before 2015,1.0,1.0,10238,10000.0,sedan,3,0,0,0.0
869862,40-64,male,majority,20-29y,high school,upper class,0.6819981116362914,0.0,before 2015,1.0,1.0,32765,6000.0,sedan,11,1,2,1.0
947354,40-64,female,minority,20-29y,high school,working class,0.436520236197445,1.0,before 2015,0.0,1.0,10238,15000.0,sedan,3,0,2,0.0
370253,65+,female,minority,20-29y,high school,upper class,0.6719249250370957,1.0,after 2015,1.0,1.0,10238,10000.0,sedan,2,1,5,0.0
672542,65+,male,majority,20-29y,university,upper class,0.4721412440122079,1.0,before 2015,1.0,1.0,10238,11000.0,sedan,3,0,1,0.0
823828,40-64,female,majority,20-29y,high school,working class,0.5250591110723005,0.0,before 2015,1.0,1.0,10238,10000.0,sedan,0,0,1,0.0
36065,16-25,male,majority,0-9y,none,poverty,0.4490141254061794,1.0,before 2015,0.0,1.0,10238,14000.0,sedan,0,0,0,0.0
80718,26-39,male,majority,10-19y,university,upper class,0.6227949196734675,1.0,after 2015,1.0,1.0,10238,,sedan,1,0,2,0.0
825288,40-64,male,majority,10-19y,university,upper class,0.9608188278116948,1.0,after 2015,0.0,1.0,10238,10000.0,sedan,1,0,1,0.0
414572,40-64,female,majority,20-29y,high school,upper class,0.5702790141224438,1.0,before 2015,1.0,1.0,10238,10000.0,sedan,3,0,4,0.0
24396,26-39,female,majority,10-19y,high school,poverty,0.4144618670550359,0.0,before 2015,1.0,1.0,10238,10000.0,sedan,3,0,1,0.0
